Study ID	Control	Category	DisplayUnit	Site Number	Site Name	ControlOriginal	ControlType	Form	Proxy	NatureOfMeasurement	UsedIndependently	Meta	UnitType	Unit	TimeSeriesMeasured	TimeSeriesUsedForStats	Variable Temporal Resolution	Temoral Resolution Coarsest (y)	Temporal Resolution Finest (y)	Temporal Extent StartDate	Temporal Extent EndDate	Temporal Extent (y)	Number of Time Points	Prior Manip / Obs at Site (y)	Extent	Metaanalysis	LatDD	LonDD
SRB-103	Herbivory	Biotic	9 Herbivory	1	Daring Lake	Herbivory Exclusion	PROX	NO	NO	NRF	TRUE	FALSE	bool	Exclosed	FALSE	FALSE	N/A	N/A	N/A	N/A	N/A	N/A	1	5	Site	FALSE	64.867	-111.55
SRB-104	Air Temp	Atmosphere	2 Air Temperature	1	Toolik Lake	Warming	PROX	NO	NO	NRF	TRUE	FALSE	bool	Manipulated	FALSE	FALSE	N/A	N/A	N/A	N/A	N/A	N/A	1	20	Site	FALSE	68.333	-149.6
SRB-104	Soil Nutrients	Soil	Soil Nutrients	1	Toolik Lake	Fertilisation (N+P)	ULT	N + P	NO	NRF	FALSE	FALSE	bool	Manipulated	FALSE	FALSE	N/A	N/A	N/A	N/A	N/A	N/A	1	20	Site	FALSE	68.333	-149.6
SRB-105	Air Temp	Atmosphere	2 Air Temperature	1	Ny Ålesund	Air Temperature: Mean	PROX	NO	Mean	OBS	TRUE	FALSE	float	DegC	TRUE	TRUE	FALSE	0.08	0.083	1912	2008	96	96	0	Site	FALSE	78.9	12.167
SRB-105	Air Temp	Atmosphere	2 Air Temperature	2	Endalen	Air Temperature: Mean	PROX	NO	Mean	OBS	TRUE	FALSE	float	DegC	TRUE	TRUE	FALSE	0.08	0.083	1912	2008	96	96	0	Site	FALSE	78.183	15.733
SRB-105	Air Temp	Atmosphere	2 Air Temperature	3	Abisko	Air Temperature: Mean	PROX	NO	Mean	OBS	TRUE	FALSE	float	DegC	TRUE	TRUE	FALSE	0.08	0.083	1912	2008	96	96	0	Site	FALSE	68.333	18.85
SRB-105	Air Temp	Atmosphere	2 Air Temperature	1	Ny Ålesund	Growing Season Length	PROX	NO	Growing Season Length	OBS	TRUE	FALSE	int	Days	TRUE	TRUE	FALSE	1	1	1912	2008	96	96	0	Site	FALSE	78.9	12.167
SRB-105	Air Temp	Atmosphere	2 Air Temperature	2	Endalen	Growing Season Length	PROX	NO	Growing Season Length	OBS	TRUE	FALSE	int	Days	TRUE	TRUE	FALSE	1	1	1912	2008	96	96	0	Site	FALSE	78.183	15.733
SRB-105	Air Temp	Atmosphere	2 Air Temperature	3	Abisko	Growing Season Length	PROX	NO	Growing Season Length	OBS	TRUE	FALSE	int	Days	TRUE	TRUE	FALSE	1	1	1912	2008	96	96	0	Site	FALSE	68.333	18.85
SRB-105	Air Temp	Atmosphere	2 Air Temperature	1	Ny Ålesund	Growing Degree Days (>5DegC)	PROX	NO	Growing Degree Days	OBS	TRUE	FALSE	int	Days	TRUE	TRUE	FALSE	1	1	1912	2008	96	96	0	Site	FALSE	78.9	12.167
SRB-105	Air Temp	Atmosphere	2 Air Temperature	2	Endalen	Growing Degree Days (>5DegC)	PROX	NO	Growing Degree Days	OBS	TRUE	FALSE	int	Days	TRUE	TRUE	FALSE	1	1	1912	2008	96	96	0	Site	FALSE	78.183	15.733
SRB-105	Air Temp	Atmosphere	2 Air Temperature	3	Abisko	Growing Degree Days (>5DegC)	PROX	NO	Growing Degree Days	OBS	TRUE	FALSE	int	Days	TRUE	TRUE	FALSE	1	1	1912	2008	96	96	0	Site	FALSE	68.333	18.85
SRB-109	Herbivory	Biotic	9 Herbivory	1	Varanger fiord	Annual Defoliation	PROX	Defoliator	NO	OBS	TRUE	FALSE	float	Defoliation Score	TRUE	TRUE	FALSE	1	1	2002	2010	8	8	0	Site	FALSE	70	29
SRB-118	Fire	Atmosphere	4 Fire	1	Arctic Foothills	Fire	PROX	NO	NO	CHR	TRUE	FALSE	int	Age since disturbance	FALSE	FALSE	N/A	N/A	N/A	N/A	N/A	N/A		130	Region	FALSE	69.5	-156.5
SRB-121	Air Temp	Atmosphere	2 Air Temperature	1	Zackenberg	Air Temperature	PROX	NO	NO	NRF	TRUE	FALSE	bool	Manipulated	FALSE	FALSE	N/A	N/A	N/A	N/A	N/A	N/A		7	Site	FALSE	74.5	-21
