Report ID	Author	Publication Date	Title	Abstract	Publication	Keywords (from Bibliographic databases - unsorted)	Study	Study Context Comments	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Sample Size: Certified	Sample size: Non-certified	Treatment Arms	Statistical Power	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices	Notes Aqua	Notes
9	"Tampe, Maja"	2016	Leveraging the Vertical: The Contested Dynamics of Sustainability Standards and Labour in Global Production Networks: Leveraging the Vertical		British Journal of Industrial Relations    DOI:10.1111/bjir.12204		"Tampe, 2016"	N/A	Ecuador 	"0.1807, -78.4678"	Treecrop	Cocoa	Fair Trade; Rainforest Alliance;Rainforest Alliance	Co-operatives; Smallholders	Co-operatives; Smallholders	Producer; Processor	Mixed methods	Interviews and Document analysis	Pre-post	87	N/A	FT / RA	N/A	Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	Data Reported	N/A	N/A	Data Reported	Data Reported	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	None
65	"Chiputwa, B.; Qaim, M."	2016	"Sustainability standards, gender, and nutrition among smallholder farmers in Uganda"		The Journal of Development Studies    		"Chiputwa, 2015 "	"The data from Uganda are the same as those used by Chiputwa et al. (2015), but the focus and methodological approaches are different. Chiputwa et al. (2015) analysed effects of certification on income and poverty with a propensity score matching approach. They did not look at nutrition and gender, nor did they examine impact pathways with structural models, as we do here."	Uganda	"0.827100, 32.627700"	Coffee	Coffee	Fair Trade; Rainforest Alliance; Organic; UTZ Certification	Smallholders	Households	Producer	Household surveys	N/A	Matched	271	148	Control / FT / Organic / UTZ	N/A	Data Reported	No Data Reported	No Data Reported	N/A	N/A	N/A	Data Reported	Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
464	"Childs, John"	2014	A new means of governing artisanal and small-scale mining? Fairtrade gold and development in Tanzania	"This paper offers a critical analysis of the most contemporary development intervention concerned with ameliorating the problems of Artisanal and Small-scale Mining (ASM) in sub-Saharan Africa, namely the emergence of Fairtrade Gold. Through an analysis of Fairtrade Gold in Tanzania, this paper argues that despite Fairtrade's promises to ASM operators of better prices, its potential efficacy is compromised by the informality of local gold markets and a deeply-rooted mistrust of development intervention more broadly. However, its greatest contribution may lie elsewhere in the drive for a social and environmental justice framework that privileges increased recognition for small-scale gold miners in the global South. (C) 2014 Elsevier Ltd. All rights reserved."	Resources Policy 40  128-136 DOI:10.1016/j.resourpol.2014.01.007	ASM Fair trade Gold Mining Tanzania Commerce Miner	"Childs, 2014"	"Voluntary regulation is often referred to in the literature as synonymous with Ã”privateÃ• regulation. In this paper it is used to describe a process of co-ordination and consensus between key participants in a given industry. In the mining sector, it refers to those joint efforts made by state, business and civil society to regulate metals and mineral extraction."	Tanzania	"-8.252778, 38.6775"	Mining	Gold	Fair Trade; Rainforest Alliance	Country-wide	Miners	Producer	Interviews 	N/A	Matched	N/A	N/A	Control / FT Gold	N/A	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
988	"Kukkonen, Mari; Hohnwald, Stefan"	2009	"Comparing floristic composition in treefall gaps of certified, conventionally managed and natural forests of northern Honduras"	"Forest certification sets requirements for minimizing the impacts of logging on the natural structure and floristic composition of forests. We assessed the impact of certification by comparing the floristic composition of 52 taxa of trees and shrubs in the treefall gaps of certified, conventionally managed and protected forests in northern Honduras. The highest abundance of light-benefiting taxa was found in certified forests, whereas conventionally managed forests were floristically more similar to natural forests. The environmental conditions measured in certified gaps were not favourable for a natural forest floristic composition. Past logging may have altered the species composition in certified forests relatively more than in conventionally managed forests. This implies that the need for restoration operations should be considered in certification requirements, along with landscape-level planning to enhance post-logging recovery. Â© 2009 INRA EDP Sciences."	Annals of Forest Science 66  809_809 DOI:10.1051/forest/2009070	Floristic composition Forest certification Hondura	"Kukkonen, 2009"	N/A	Honduras	"15.633333, -86.666667"	Timber	Timber	Forest Stewardship Council (FSC)	Forests	Individual Forest pacthes	Producer	Field experiments	N/A	Matched	3	3	Control / FSC / protected	DCCA; RDA; pRDA; PCA; ANOVA; Dunnett's Test	No Data Reported	No Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	None
1009	"Milford, Anna"	2004	"Coffee, co-operatives and competition: the impact of fair trade"		CMI Reports    		"Milford, 2004"	N/A	Mexico	"16.756900, -93.129200"	Coffee	Coffee	Fair Trade; Rainforest Alliance	Co-operatives; independant Farms	Cooperative; Farms	Producer	Interviews (freeform)	Based on set questionnaire	Matched	N/A	N/A	Control / FT	None	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
1059	"Blackman, A.; Goff, L.; Rivera Planter, M.; Planter, M. R."	2015	Does eco-certification stem tropical deforestation? Forest Stewardship Council certification in Mexico	"Since its creation more than two decades ago as a voluntary market-based approach to improving forest management, forest certification has proliferated rapidly in developing countries. Yet we know little about whether and under what conditions it affects deforestation. We use rich forest management unit-level panel data - including information on deforestation, certification, regulatory permitting, and geophysical and socioeconomic land characteristics - along with matched fixed effects models to identify the effect of Forest Stewardship Council (FSC) certification on deforestation in Mexico, the country with the third-highest number of FSC certifications in the developing world. We test for a variety of different temporal and subgroup effects but are unable to reject the null hypothesis that certification does not affect deforestation. Although these results do not indicate that FSC certification has no effect on forest management, they do suggest that its impact on deforestation may be limited."	Discussion Paper - Resources for the Future (RFF)   49-pp 	certification deforestation forest management fore; deforestation forest management forests	"Blackman, 2015"	N/A	Mexico	"19.566500, -101.706800"	Forest Resource	N/A	Forest Stewardship Council (FSC)	Forest manageent Units	FMU's	Producer	Government data	N/A	Matched	457	"17,646"	Control / FSC	Regression	No Data Reported	No Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
1066	"Fikadu, Mitiku; Mey, Y. de; Nyssen, J.; Maertens, M."	2017	Do private sustainability standards contribute to income growth and poverty alleviation? A comparison of different coffee certification schemes in Ethiopia	"Private sustainability standards are increasingly important in food trade with developing countries, but the implications for smallholder farmers are still poorly understood. We analyze the implications of different coffee certification schemes in Ethiopia using cross-sectional survey data, and regression and propensity-score-matching techniques. We find that: Rainforest Alliance (RA) and double Fairtrade-Organic (FT-Org) certifications are associated with higher incomes and reduced poverty, mainly because of higher prices; Fairtrade (FT) certification hardly affects welfare; and Organic (Org) certification reduces incomes, chiefly due to lower yields. Cooperative heterogeneity importantly shapes these results. Results imply that private standards may not always deliver what they promise to consumers."	Sustainability (Switzerland) 9  246-246 DOI:10.3390/su9020246	Coffee certification Ethiopia Global value chains; coffee consumers farmers income poverty prices sta	"Mitiku, 2017"	N/A	Ethiopia	"7.4000000, 36.2333300"	Coffee	Coffee	Organic; Rainforest Alliance; Fair Trade; Rainforest Alliance	Co-operatives	Farms	Producer	Household surveys	N/A	Matched	270	155	Control / RA / Organic / FT 	Regression Models; Porpensity score matching; Chi2	Data Reported	Data Reported	No Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	Data Reported / Data Reported	N/A	Data Reported / Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
1271	"Bellamy, A. S.; Svensson, O.; van den Brink, P. J.; Tedengren, M."	2016	What is in a label? Rainforest-Alliance certified banana production versus non-certified conventional banana production	"Export banana production in Latin America is pesticide intensive, receiving much negative publicity regarding human health problems and environmental degradation. The Rainforest Alliance (RA) certification scheme was established to certify farms that met a number of social, occupation health and environmental standards set by RA and their certifying body, the Sustainable Agriculture Network (SAN). This study was one of the first, independent studies of the environmental impact of some of the principles set by RA and SAN. The study focuses on insect and bird diversity as an indicator of ecosystem health. Five RA certified farms, six non-RA certified farms, and five organic certified farms were sampled. The data was analyzed with RDA multivariate analyses and Monte Carlo permutation tests. The results showed that RA certified farms had less insect diversity compared to non-RA certified farms and that both farm types had less insect diversity than organic farms. There was little difference between RA and non-RA certified farms with regards bird community composition. Thus, organic farming conserves biodiversity, while alternative environmental labels (e.g. a Rainforest alliance seal) may not have any visible positive effect on in-farm biodiversity. This study points to the need for improvements in SAN certification standards to achieve improved environmental conditions. Â© 2016 The Authors."	Global Ecology and Conservation 7  39-48 DOI:10.1016/j.gecco.2016.05.002	Banana production Costa Rica Insect diversity Mana	"Bellamy et al., 2016"	All certfied farms came from Chiquita company.	Costa Rica	"9.9281, -84.0907"	Fruit	Banana	Rainforest Alliance; Organic	Farmers and Chiquita Brand International	Farmers	Producer	Field experiments	Insect and bird surveys	Matched	10	6	Control / RA / Organic	RDA multivariate analyses and Monte Carlo permutation tests	No Data Reported	No Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	"Organic - Data Reported, RA - Data Reported"	N/A	N/A	Practises thought to be similar between RA and non-RA due to ease of application. Biodiversity measured as bird and insect. Also looked at impact of proximity to forest.
1306	"Hartman, G. L.; Pawlowski, M. L.; Herman, T. K.; Eastburn, D."	2016	Organically grown soybean production in the USA: Constraints and management of pathogens and insect pests	"Soybean is the most produced and consumed oil seed crop worldwide. In 2013, 226 million metric tons were produced in over 70 countries. Organically produced soybean represents less than 0.1% of total world production. In the USA, the certified organic soybean crop was grown on 53 thousand ha or 0.17% of the total soybean acreage in the USA (32 million ha) in 2011. A gradual increase in production of organically grown soybean has occurred since the inception of organic labeling due to increased human consumption of soy products and increased demand for organic soybean meal to produce organic animal products. Production constraints caused by pathogens and insect pests are often similar in organic and non-organic soybean production, but management between the two systems often differs. In general, the non-organic, grain-type soybean crop are genetically modified higher-yielding cultivars, often with disease and pest resistance, and are grown with the use of synthetic pesticides. The higher value of organically produced soybean makes production of the crop an attractive option to some farmers. This article reviews production and uses of organically grown soybean in the USA, potential constraints to production caused by pathogens and insect pests, and management practices used to reduce the impact of these constraints. Â© 2016 by the authors; licensee MDPI."	Agronomy 6   DOI:10.3390/agronomy6010016	Aphids Cyst nematode Edamame Rust Sclerotinia stem	"Hartman et al , 2016"	N/A	USA	"38.9072, 77.0369"	Grain	Soybean	Organic	Farms	Farms	Producer	Government data	N/A	Matched	N/A	N/A	Control / Organic	N/A	No Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	Data Reported 	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	Data Reported	Data Reported	N/A	None
1321	"Maraseni, T. N.; Son, H. L.; Cockfield, G.; Duy, H. V.; Nghia, T. D."	2017	The financial benefits of forest certification: Case studies of acacia growers and a furniture company in Central Vietnam	"The demand for forest products is growing and plantation forests are supplying an increasing proportion of wood to industry. There are also increasing market requirements to demonstrate the sustainability of timber supply. Vietnam has some 3.9 M ha of plantation forests, 44% of which is on short-rotations managed by smallholders. More than 80 percent of the harvested volume from the plantation forests is used for woodchip production to serve domestic and international markets. The Vietnam Government has goals to increase the domestic supply of suitable wood for furniture production to international markets by increasing the supply of larger logs grown in plantations and the supply of certified wood to industry. However, it is not clear that these objectives will necessarily benefit growers and processors. This study compared financial returns from certified and non-certified forest products for: (1) growers with 10-year rotation acacia plantations; and (2) a furniture processing business (battens for chair and table) in Quang Tri Province, Central Vietnam. The data were collected from smallholder tree growers and a sawmilling company, triangulated with and supplemented by formal and informal interviews with other stakeholders. Currently, much of the cost of certification is met by external aid donors. Results showed that net returns from both certified and non-certified timber products are positive for both actors and are higher from certified timber production than non-certified timber production. When the full costs of certification are included, the benefits to growers of certification are much reduced and potentially negative unless the fixed costs can be spread over a large group of growers. A minimum of group with 3000 ha may be required to make certification cost effective. In recent years, the price difference between the certified and non-certified logs is narrowing and this may discourage farmers from attaining certification. For the sawmiller, the benefit of certified timber production is greater. It would be in their interests to increase prices paid to growers for certified logs. Government policy measures to support certification should include consideration of who bears the cost, support for aggregation of smallholder growers and improved communication in timber supply chains. Â© 2017 Elsevier Ltd"	Land Use Policy 69  56-63 DOI:10.1016/j.landusepol.2017.09.011	Acacia plantation Certified forest Furniture indus	"Maraseni et al., 2017"	"This research is part of a larger research projectÃ’Improving policiesfor forest plantations to balance smallholder, industry and environ-mental needs in Lao PDR and VietnamÃ“, funded by the AustralianCentre for International Agricultural Research"	Vietnam	"21.02, 105.85"	Timber	Acacia	Forest Stewardship Council (FSC)	Co-operatives	Smallholders; Sawmills	Producer; Processor	Mixed methods	"Formal/informal interviews with farmers, stakeholders, co-op data"	Matched	N/A	N/A	N/A	Cost analysis in different scenarios	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
